PhraseId,Sentiment
156061,3
156062,3
156063,3
156064,3
156065,3
156066,3
156067,3
156068,3
156069,3
156070,2
156071,2
156072,2
156073,1
156074,3
156075,1
156076,1
156077,3
156078,1
156079,1
156080,1
156081,4
156082,1
156083,1
156084,1
156085,3
156086,1
156087,1
156088,0
156089,3
156090,3
156091,3
156092,3
156093,3
156094,3
156095,1
156096,3
156097,1
156098,3
156099,1
156100,3
156101,1
156102,3
156103,3
156104,3
156105,3
156106,4
156107,1
156108,3
156109,1
156110,3
156111,1
156112,1
156113,1
156114,1
156115,1
156116,1
156117,3
156118,1
156119,1
156120,1
156121,2
156122,2
156123,2
156124,2
156125,2
156126,3
156127,1
156128,3
156129,1
156130,3
156131,2
156132,3
156133,1
156134,2
156135,3
156136,3
156137,3
156138,3
156139,3
156140,3
156141,3
156142,3
156143,3
156144,3
156145,1
156146,3
156147,3
156148,2
156149,2
156150,3
156151,2
156152,2
156153,3
156154,0
156155,3
156156,3
156157,2
156158,2
156159,1
156160,2
156161,1
156162,3
156163,3
156164,3
156165,3
156166,0
156167,1
156168,0
156169,0
156170,0
156171,4
156172,4
156173,0
156174,4
156175,4
156176,2
156177,4
156178,1
156179,1
156180,1
156181,1
156182,1
156183,1
156184,1
156185,1
156186,4
156187,4
156188,4
156189,1
156190,4
156191,3
156192,4
156193,4
156194,2
156195,2
156196,2
156197,2
156198,2
156199,1
156200,4
156201,1
156202,2
156203,1
156204,1
156205,1
156206,3
156207,1
156208,2
156209,0
156210,1
156211,1
156212,1
156213,0
156214,0
156215,1
156216,2
156217,3
156218,2
156219,3
156220,4
156221,3
156222,3
156223,2
156224,1
156225,1
156226,1
156227,1
156228,1
156229,2
156230,2
156231,3
156232,2
156233,3
156234,3
156235,1
156236,3
156237,2
156238,3
156239,3
156240,4
156241,4
156242,4
156243,3
156244,3
156245,3
156246,4
156247,4
156248,4
156249,1
156250,1
156251,1
156252,1
156253,1
156254,1
156255,1
156256,1
156257,1
156258,1
156259,4
156260,3
156261,1
156262,3
156263,3
156264,3
156265,1
156266,3
156267,3
156268,2
156269,1
156270,1
156271,1
156272,3
156273,3
156274,3
156275,3
156276,3
156277,3
156278,3
156279,3
156280,3
156281,3
156282,3
156283,3
156284,0
156285,0
156286,3
156287,3
156288,3
